gene_id	Zscore
?|100130426	0.304764109
?|100133144	0.295509003
?|100134869	-0.386134429
?|10357	0.849989493
?|10431	-0.234830522
?|136542	-0.519893575
?|155060	-0.055867883
?|26823	-0.086455728
?|280660	0.165281509
?|317712	-0.378156429
?|340602	-0.25873806
?|388795	-0.089783096
?|390284	0.407667991
?|391343	0.452396336
?|391714	-0.415607598
?|404770	-0.486536342
?|441362	-0.069344844
?|442388	-0.140206363
?|553137	-0.084052664
?|57714	-0.279173993
?|645851	-0.004230301
?|652919	-0.195369103
?|653553	-0.359221829
?|728045	0.094458514
?|728603	0.230200357
?|728788	0.049422627
?|729884	-0.436146322
?|8225	0.324910813
?|90288	0.515140736
A1BG|1	0.079944148
A1CF|29974	-0.173947895
A2BP1|54715	-0.254746148
A2LD1|87769	0.011709363
A2ML1|144568	0.088001279
A2M|2	0.20130165
A4GALT|53947	0.058604841
A4GNT|51146	0.106972917
AAA1|404744	-0.274199516
AAAS|8086	-0.848333985
AACSL|729522	-0.09881621
AACS|65985	-0.60908572
AADACL2|344752	0.328294796
AADACL3|126767	0.140808437
AADACL4|343066	-0.555284108
AADAC|13	0.147801241
AADAT|51166	-0.461052893
AAGAB|79719	0.10883913
AAK1|22848	0.151776776
AAMP|14	0.38524787
AANAT|15	-0.092520105
AARS2|57505	0.370271573
AARSD1|80755	0.338216781
AARS|16	-0.28283448
AASDHPPT|60496	0.041297682
AASDH|132949	0.376993666
AASS|10157	0.151535659
AATF|26574	0.453461692
AATK|9625	-0.413501367
ABAT|18	0.12382363
ABCA10|10349	0.148132752
ABCA11P|79963	-0.015833049
ABCA12|26154	-0.067958367
ABCA13|154664	0.13628221
ABCA17P|650655	0.019381991
ABCA1|19	0.693900482
ABCA2|20	-0.933918409
ABCA3|21	0.476572541
ABCA4|24	-0.087113691
ABCA5|23461	0.091137609
ABCA6|23460	0.005512762
ABCA7|10347	0.296457491
ABCA8|10351	0.465042608
ABCA9|10350	0.454312532
ABCB10|23456	-0.570354723
ABCB11|8647	-0.018864038
ABCB1|5243	0.129459971
ABCB4|5244	-0.291472306
ABCB5|340273	0.196077994
ABCB6|10058	-0.037275401
ABCB7|22	-0.532736636
ABCB8|11194	1.061877826
ABCB9|23457	0.101188646
ABCC10|89845	0.142715807
ABCC11|85320	-0.05215298
ABCC12|94160	-0.081342021
ABCC13|150000	0.223751267
ABCC1|4363	-0.346039297
ABCC2|1244	-0.142824062
ABCC3|8714	0.506232769
ABCC4|10257	-0.275836598
ABCC5|10057	-0.027351916
ABCC6P1|653190	-0.698599463
ABCC6P2|730013	-0.349474706
ABCC6|368	-0.08160409
ABCC8|6833	0.427900301
ABCC9|10060	-0.138709555
ABCD1|215	0.657796576
ABCD2|225	-0.117536248
ABCD3|5825	-0.255588856
ABCD4|5826	0.430079232
ABCE1|6059	0.073975895
ABCF1|23	-0.24939896
ABCF2|10061	0.189783842
ABCF3|55324	-0.102786393
ABCG1|9619	-0.119950103
ABCG2|9429	-0.044333452
ABCG4|64137	0.356572054
ABCG5|64240	0.291283054
ABCG8|64241	0.228448873
ABHD10|55347	0.089638207
ABHD11|83451	-0.040106652
ABHD12B|145447	-0.379160369
ABHD12|26090	0.292099568
ABHD13|84945	-0.17503655
ABHD14A|25864	-0.198595283
ABHD14B|84836	0.152799393
ABHD15|116236	0.522239175
ABHD1|84696	-0.240626433
ABHD2|11057	-0.419073525
ABHD3|171586	-0.145037589
ABHD4|63874	-0.300427363
ABHD5|51099	-0.225312817
ABHD6|57406	-0.142953095
ABHD8|79575	0.012496332
ABI1|10006	0.455098833
ABI2|10152	0.272388068
ABI3BP|25890	-0.160556406
ABI3|51225	-0.763634141
ABL1|25	0.5256728
ABL2|27	-0.394620111
ABLIM1|3983	-0.258644048
ABLIM2|84448	0.38569448
ABLIM3|22885	0.002126513
ABO|28	-0.554154318
ABP1|26	-0.091014289
ABRA|137735	-0.310782833
ABR|29	-0.229694517
ABT1|29777	-0.31000048
ABTB1|80325	0.104876942
ABTB2|25841	-0.156587615
ACAA1|30	-0.02008837
ACAA2|10449	-0.345195316
ACACA|31	0.469729515
ACACB|32	0.044802132
ACAD10|80724	-0.112809001
ACAD11|84129	0.039673561
ACAD8|27034	0.208641318
ACAD9|28976	-0.112423528
ACADL|33	0.688789925
ACADM|34	0.074285071
ACADSB|36	0.16247288
ACADS|35	-0.436575615
ACADVL|37	0.209118039
ACAN|176	0.128103912
ACAP1|9744	0.019053688
ACAP2|23527	0.285919615
ACAP3|116983	-0.069892977
ACAT1|38	-0.332703871
ACAT2|39	-0.098971012
ACBD3|64746	-0.312657942
ACBD4|79777	-0.037622526
ACBD5|91452	-0.360316046
ACBD6|84320	0.016836832
ACBD7|414149	-0.355479938
ACCN1|40	0.313772881
ACCN2|41	0.180461559
ACCN3|9311	-0.132390015
ACCN4|55515	-0.218307975
ACCN5|51802	0.032253875
ACCSL|390110	-0.200097322
ACCS|84680	0.115554306
ACD|65057	-0.075563704
ACE2|59272	-0.021111558
ACER1|125981	-0.268424311
ACER2|340485	-0.075180082
ACER3|55331	-0.203651857
ACE|1636	0.475296672
ACHE|43	-0.491576388
ACIN1|22985	-0.014329666
ACLY|47	-0.838114251
ACMSD|130013	-0.038630622
ACN9|57001	0.461560149
ACO1|48	-0.300852404
ACO2|50	-0.115033452
ACOT11|26027	-0.174783676
ACOT12|134526	-0.165982008
ACOT13|55856	-0.241536969
ACOT1|641371	0.215495467
ACOT2|10965	0.011843979
ACOT4|122970	0.133005808
ACOT6|641372	-0.001466569
ACOT7|11332	0.22752389
ACOT8|10005	0.087005319
ACOT9|23597	-0.188583243
ACOX1|51	-0.519663124
ACOX2|8309	-0.224967628
ACOX3|8310	-0.283669715
ACOXL|55289	-0.009387824
ACP1|52	-0.087913413
ACP2|53	-0.244509242
ACP5|54	-0.036629741
ACP6|51205	-0.136924116
ACPL2|92370	-0.07814087
ACPP|55	0.349470143
ACPT|93650	0.186768304
ACRBP|84519	0.007483258
ACRC|93953	-0.238636407
ACRV1|56	0.136922184
ACR|49	-0.046979177
ACSBG1|23205	0.406808324
ACSBG2|81616	0.34617853
ACSF2|80221	-0.554745921
ACSF3|197322	0.442314884
ACSL1|2180	0.022848278
ACSL3|2181	-0.413244408
ACSL4|2182	-0.198332727
ACSL5|51703	0.396480839
ACSL6|23305	-0.255275576
ACSM1|116285	0.609455384
ACSM2A|123876	0.163470553
ACSM2B|348158	-0.099036939
ACSM3|6296	-0.34367996
ACSM4|341392	-0.349593905
ACSM5|54988	-0.017985252
ACSS1|84532	0.313854207
ACSS2|55902	0.487489593
ACSS3|79611	-0.396637358
ACTA1|58	-0.546527905
ACTA2|59	-0.082861824
ACTBL2|345651	0.0608487
ACTB|60	-0.252168614
ACTC1|70	-0.101389631
ACTG1|71	-0.677529918
ACTG2|72	-0.287823645
ACTL6A|86	-0.298147934
ACTL6B|51412	-0.141694628
ACTL7A|10881	0.047882002
ACTL7B|10880	0.263417385
ACTL8|81569	-0.569091752
ACTL9|284382	0.497613738
ACTN1|87	-0.378347466
ACTN2|88	-0.299069765
ACTN3|89	-0.340935157
ACTN4|81	0.563832158
ACTR10|55860	-0.036283366
ACTR1A|10121	0.324481328
ACTR1B|10120	-0.521592844
ACTR2|10097	0.249810261
ACTR3B|57180	-0.021247184
ACTR3C|653857	0.437586444
ACTR3|10096	-0.326835496
ACTR5|79913	0.283094533
ACTR6|64431	0.360235748
ACTR8|93973	-0.388062502
ACTRT1|139741	0.036359257
ACTRT2|140625	0.233557755
ACVR1B|91	-0.122986364
ACVR1C|130399	0.439379161
ACVR1|90	-0.206465094
ACVR2A|92	-0.39977341
ACVR2B|93	-0.670440948
ACVRL1|94	0.431381668
ACY1|95	-0.290078974
ACY3|91703	-0.275066217
ACYP1|97	0.009520504
ACYP2|98	-0.035360046
ADAD1|132612	0.166924794
ADAD2|161931	-0.05147491
ADAL|161823	0.093506137
ADAM10|102	-1.226367763
ADAM11|4185	0.006438567
ADAM12|8038	-0.491346464
ADAM15|8751	-0.087117067
ADAM17|6868	-0.286981506
ADAM18|8749	-0.254738998
ADAM19|8728	0.223498096
ADAM20|8748	-0.299552676
ADAM21P1|145241	0.167184663
ADAM21|8747	0.042500283
ADAM22|53616	0.269685601
ADAM23|8745	-0.394635634
ADAM28|10863	-0.158424199
ADAM29|11086	-0.022099666
ADAM2|2515	0.222838191
ADAM30|11085	0.108826509
ADAM32|203102	-0.318708402
ADAM33|80332	0.008482049
ADAM3A|1587	0.21728459
ADAM5P|255926	-0.097978461
ADAM6|8755	0.012671935
ADAM7|8756	-0.046695437
ADAM8|101	-0.30620512
ADAM9|8754	-0.313539409
ADAMDEC1|27299	0.49990022
ADAMTS10|81794	0.078636705
ADAMTS12|81792	-0.278826055
ADAMTS13|11093	-0.286547404
ADAMTS14|140766	0.30432524
ADAMTS15|170689	0.233174077
ADAMTS16|170690	0.219136506
ADAMTS17|170691	0.396928449
ADAMTS18|170692	-0.013946011
ADAMTS19|171019	-0.165317073
ADAMTS1|9510	0.002641887
ADAMTS20|80070	-0.305192764
ADAMTS2|9509	-0.026479557
ADAMTS3|9508	-0.21784171
ADAMTS4|9507	0.622915091
ADAMTS5|11096	-0.309905662
ADAMTS6|11174	0.26045349
ADAMTS7|11173	0.220991358
ADAMTS8|11095	-0.209508056
ADAMTS9|56999	0.029429473
ADAMTSL1|92949	-0.535914757
ADAMTSL2|9719	0.195649884
ADAMTSL3|57188	0.652016262
ADAMTSL4|54507	-0.289050942
ADAMTSL5|339366	0.263362772
ADAP1|11033	0.777277568
ADAP2|55803	0.187142339
ADARB1|104	0.343158127
ADARB2|105	-0.074531453
ADAR|103	-0.110696447
ADAT1|23536	-0.679301397
ADAT2|134637	-0.014568498
ADAT3|113179	-0.209656033
ADA|100	0.00651877
ADCK1|57143	-0.519565699
ADCK2|90956	-0.285221969
ADCK4|79934	0.006906362
ADCK5|203054	-0.403488525
ADCY10|55811	-0.485184974
ADCY1|107	-0.346833998
ADCY2|108	0.384020466
ADCY3|109	0.204890972
ADCY4|196883	0.464012593
ADCY5|111	-0.316153311
ADCY6|112	0.241051968
ADCY7|113	-0.038652432
ADCY8|114	-0.328214357
ADCY9|115	0.062226724
ADCYAP1R1|117	0.57113923
ADCYAP1|116	0.003841389
ADC|113451	-0.034698422
ADD1|118	-0.401266043
ADD2|119	-0.799473186
ADD3|120	-0.135797396
ADH1A|124	-0.189790613
ADH1B|125	-0.07787814
ADH1C|126	0.086579932
ADH4|127	0.682978244
ADH5|128	-0.162513927
ADH6|130	-0.037165603
ADH7|131	-0.14644958
ADHFE1|137872	-0.571349373
ADI1|55256	0.2045645
ADIG|149685	-0.142912052
ADIPOQ|9370	0.517267026
ADIPOR1|51094	-0.057284331
ADIPOR2|79602	-0.02329829
ADK|132	0.154157335
ADM2|79924	-0.453366245
ADM|133	-0.117701758
ADNP2|22850	0.120066863
ADNP|23394	0.153260076
ADORA1|134	-0.050694247
ADORA2A|135	-0.147052945
ADORA2B|136	0.543888389
ADORA3|140	0.261732195
ADO|84890	-0.126596672
ADPGK|83440	-0.234549558
ADPRHL1|113622	-0.529603607
ADPRHL2|54936	-0.453881727
ADPRH|141	0.581665971
ADRA1A|148	0.043599666
ADRA1B|147	0.672196234
ADRA1D|146	-0.159763848
ADRA2A|150	-0.208353991
ADRA2B|151	0.073591674
ADRA2C|152	-0.280862957
ADRB1|153	-0.132885483
ADRB2|154	0.663693519
ADRB3|155	-0.043831218
ADRBK1|156	0.414020538
ADRBK2|157	-0.259127212
ADRM1|11047	0.228035191
ADSL|158	0.047543331
ADSSL1|122622	0.283573795
ADSS|159	0.481668488
AEBP1|165	-0.474165298
AEBP2|121536	-0.405490168
AEN|64782	-0.067251756
AES|166	0.263315926
AFAP1L1|134265	0.335357897
AFAP1L2|84632	0.162475109
AFAP1|60312	0.181167015
AFARP1|246182	-0.596368626
AFF1|4299	0.002893141
AFF2|2334	-0.366550608
AFF3|3899	0.196907782
AFF4|27125	0.390103233
AFG3L1|172	-0.041448535
AFG3L2|10939	-0.20202128
AFMID|125061	0.822293735
AFM|173	0.148434272
AFP|174	0.353503497
AFTPH|54812	-0.109405603
AG2|387763	0.006838506
AGAP11|119385	-0.027116133
AGAP1|116987	0.060631285
AGAP2|116986	0.16365543
AGAP3|116988	0.24331217
